carat,cut,color,clarity,depth,table,price,x,y,z
1.01,Premium,F,VVS2,59.9,58.0,8905,6.54,6.49,3.9
1.15,Premium,G,VVS2,58.4,59.0,8501,6.92,6.84,4.02
1.3,Ideal,H,VVS2,61.5,55.0,8954,7.07,7.03,4.34
1.29,Premium,J,VVS2,62.6,59.0,6356,6.98,6.91,4.35
1.59,Premium,I,VS2,62.0,58.0,7479,7.44,7.39,4.6
1.0,Good,E,VVS1,63.4,59.0,8359,6.27,6.24,4.0
1.25,Ideal,H,SI1,62.2,54.0,7182,6.93,6.88,4.3
1.1,Ideal,F,VS1,61.5,55.0,8796,6.69,6.64,4.1
1.05,Ideal,G,VS1,62.8,58.0,7440,6.44,6.48,4.06
1.53,Very Good,H,SI1,60.4,60.0,9332,7.39,7.44,4.48
1.5,Very Good,H,SI1,62.4,58.0,9237,7.29,7.26,4.54
1.2,Ideal,G,VVS1,61.2,56.0,9570,6.89,6.86,4.21
1.2,Premium,H,VS2,62.8,59.0,6666,6.75,6.7,4.22
1.52,Very Good,J,VVS1,63.6,56.0,9593,7.26,7.33,4.64
1.23,Premium,G,VS1,59.6,60.0,8145,6.94,6.99,4.15
1.53,Premium,I,SI2,62.7,62.0,7389,7.41,7.23,4.59
1.03,Ideal,G,VVS2,61.6,56.0,9236,6.48,6.5,4.0
1.11,Very Good,G,VS2,62.3,58.0,6311,6.59,6.61,4.11
1.02,Premium,G,VS1,61.0,58.0,6683,6.55,6.49,3.98
1.1,Very Good,F,VS2,62.0,59.0,6708,6.56,6.6,4.08
1.73,Ideal,J,SI1,62.6,57.0,6927,7.69,7.65,4.8
1.0,Very Good,F,VVS1,61.7,57.0,9492,6.39,6.41,3.95
1.04,Very Good,E,VVS2,62.8,58.0,9705,6.42,6.45,4.04
1.1,Premium,G,VS1,58.4,60.0,7399,6.85,6.81,3.99
1.52,Good,J,VVS2,57.9,62.0,8861,7.61,7.63,4.41
1.09,Ideal,G,VS1,62.4,57.0,6934,6.55,6.63,4.11
1.01,Premium,F,VVS2,60.4,59.0,9231,6.49,6.45,3.91
1.06,Ideal,G,VS1,61.6,56.0,7594,6.53,6.57,4.04
1.51,Very Good,I,VS2,61.6,57.0,9185,7.28,7.34,4.5
1.01,Good,G,VVS2,63.1,56.0,7430,6.34,6.4,4.02
